prompt_id,category,prompt,gold_letter
1,Request,මාගේ විශ්වවිද්‍යාල ශිෂ්‍ය වාර්තාවේ පිටපතක් ලබා ගැනීමට ලේඛකාධිකාරීතුමා වෙත ඉල්ලීමක් ලිය,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ලේඛකාධිකාරීතුමා,

කොළඹ විශ්වවිද්‍යාලය,

කුමාරතුංග මුණිදාස මාවත,

කොළඹ 03.

ගරු ලේඛකාධිකාරීතුමනි,

විෂය: විශ්වවිද්‍යාල ශිෂ්‍ය ශාස්ත්‍රීය වාර්තාවේ (Academic Transcript) පිටපතක් ලබා දෙන ලෙස ඉල්ලීම

මම 2018/2022 අධ්‍යයන වර්ෂයේ විද්‍යා පීඨයේ උපාධිධාරියකු (ලියාපදිංචි අංක: SC/2018/1234) ලෙස සාර්ථකව උපාධිය ලබා ගතිමි.

මාගේ උසස් අධ්‍යාපන කටයුතු සදහා මාගේ නිල ශාස්ත්‍රීය වාර්තාවේ (Academic Transcript) සහතික කළ පිටපතක් අවශ්‍ය වී තිබේ. ඒ සඳහා නියමිත අයදුම්පත සහ ගෙවීම් රිසිට්පත මෙයට අමුණා ඇත.

එබැවින් අදාළ ශාස්ත්‍රීය වාර්තාවේ පිටපත හැකි ඉක්මනින් ලබා දීමට කටයුතු කරන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
2,Request,පරිගණක විද්‍යා පාඨමාලාවකට ඇතුළත් වීමට පුහුණු ආයතනයට අයදුම්පත් ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

අධ්‍යක්ෂතුමා,

ජාතික වෘත්තීය පුහුණු අධිකාරිය,

නාරාහේන්පිට,

කොළඹ 05.

මහත්මයාණනි,

විෂය: ඩිප්ලෝමා මට්ටමේ පරිගණක විද්‍යා පාඨමාලාව සඳහා අයදුම් කිරීම

ඔබ ආයතනය මගින් පැවැත්වෙනු ලබන පරිගණක විද්‍යා ඩිප්ලෝමා පාඨමාලාව (2027 පළමු කණ්ඩායම) සඳහා අයදුම් කිරීමට මෙයින් අපේක්ෂා කරමි.

මම අ.පො.ස. (උසස් පෙළ) විද්‍යා විෂය ධාරාවෙන් සමත් වී ඇති අතර පරිගණක ක්ෂේත්‍රයේ මූලික දැනුමද ලබා ඇත්තෙමි. මාගේ අධ්‍යාපනික සුදුසුකම් සහ ජීවදත්ත සටහන මෙයට අමුණා ඇත.

මම පාඨමාලාව සඳහා තේරී පත්වීමට අවස්ථාව ලබා දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
3,Request,පාසල් පුස්තකාලයට නව පොත් ලබා දෙන ලෙස විදුහල්පතිතුමාගෙන් ඉල්ලීමක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

විදුහල්පතිතුමා,

ආනන්ද විද්‍යාලය,

කොළඹ 10.

ගරු විදුහල්පතිතුමනි,

විෂය: පාසල් පුස්තකාලය සඳහා නව පුස්තක ලබා දෙන ලෙස ඉල්ලීම

මා මෙම පාසලේ අ.පො.ස. උසස් පෙළ පන්තියේ ඉගෙනුම ලබන ශිෂ්‍යයකු ලෙස මෙම ලිපිය යොමු කරමි.

අප පාසල් පුස්තකාලයේ දැනට පවතින විද්‍යා හා තාක්ෂණික විෂයයන්ට අදාළ යොමු පොත් (Reference Books) ප්‍රමාණය ප්‍රමාණවත් නොවන බව නිරීක්ෂණය වී ඇත. නව විෂය නිර්දේශයන්ට අදාළ පොත්පත් කිහිපයක් පුස්තකාලයට එකතු කරන්නේ නම් එය සියලුම ශිෂ්‍යයන්ගේ අධ්‍යයන කටයුතුවලට මහත් රුකුලක් වනු ඇත.

එබැවින් මේ පිළිබඳව අවධානය යොමු කර පුස්තකාලයට නව පොත් ලබා ගැනීමට කටයුතු සම්පාදනය කර දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
4,Application,පාසල් ගුරු තනතුරක් සඳහා අයදුම් කිරීමට අධ්‍යාපන අධ්‍යක්ෂකතුමා වෙත ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

පළාත් අධ්‍යාපන අධ්‍යක්ෂතුමා,

පළාත් අධ්‍යාපන දෙපාර්තමේන්තුව,

බස්නාහිර පළාත.

මහත්මයාණනි,

විෂය: රජයේ පාසල් ගුරු තනතුර සඳහා අයදුම් කිරීම

2026.10.01 දිනැති රජයේ ගැසට් පත්‍රයේ පළ කර තිබූ දැන්වීමට අනුව රජයේ පාසල්වල ගුරු තනතුර සඳහා මෙයින් අයදුම් කරමි.

මම ශ්‍රී ජයවර්ධනපුර විශ්වවිද්‍යාලයෙන් විද්‍යාවේදී (ගණිතය) උපාධිය සාර්ථකව නිම කර ඇත්තෙමි. මාගේ උපාධි සහතිකය, උප්පැන්න සහතිකය ඇතුළු අදාළ ලියකියවිලිවල සහතික කළ පිටපත් මෙයට අමුණා ඇත.

අධ්‍යාපන ක්ෂේත්‍රයට අනුපමේය සේවයක් කිරීමට මා තුළ ඇති උනන්දුව සලකා බලමින් මෙම තනතුර සඳහා මා සම්මුඛ පරීක්ෂණයට කැඳවන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
5,Invitation,පුස්තකාල විවෘත කිරීමේ උත්සවයට විදුහල්පතිතුමාට ආරාධනා කරන නිල ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

විදුහල්පතිතුමා,

නාලන්දා විද්‍යාලය,

කොළඹ 10.

ගරු විදුහල්පතිතුමනි,

විෂය: නව ප්‍රජා පුස්තකාලය විවෘත කිරීමේ උත්සවයට ආරාධනා කිරීම

අප කොළඹ 03 ග්‍රාම සංවර්ධන සමිතිය මගින් සංවිධානය කරනු ලබන නව ප්‍රජා පුස්තකාලය සහ අධ්‍යයන මධ්‍යස්ථානය විවෘත කිරීමේ උත්සවය 2026 නොවැම්බර් මස 05 වන දින පෙ.ව. 9.00 ට පැවැත්වීමට කටයුතු යොදා ඇත.

ප්‍රදේශයේ දූ දරුවන්ගේ අධ්‍යාපනය නංවාලීම උදෙසා කරන මෙම සත්කාරයේ ආරම්භක අවස්ථාවට ගෞරවනීය අමුත්තකු ලෙස සහභාගී වන ලෙස ඔබට ගෞරවයෙන් ආරාධනා කර සිටිමු.

ඔබගේ පැමිණීම අපට මහත් ශක්තියක් සහ ගෞරවයක් වනු ඇත.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
6,Recommendation,ක්‍රීඩා තරඟාවලියකට සහභාගී වීමට සිසුවෙකු නිර්දේශ කරන ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

සභාපතිතුමා,

ජාතික පාසල් ක්‍රීඩා සංගමය,

ක්‍රීඩා අමාත්‍යාංශය,

කොළඹ 07.

මහත්මයාණනි,

විෂය: ජාතික පාසල් මලල ක්‍රීඩා තරඟාවලිය සඳහා සිසුවකු නිර්දේශ කිරීම

එළඹෙන ජාතික පාසල් මලල ක්‍රීඩා තරඟාවලියේ මීටර් 100 සහ 200 දිවීම් ඉසව් සඳහා අප ක්‍රීඩා සමාජයේ දක්ෂ ක්‍රීඩකයකු වන කේ. ඒ. පසිඳු පෙරේරා සිසුවා නිර්දේශ කර යොමු කරමි.

ඔහු පසුගිය පළාත් මට්ටමේ තරඟාවලියේදී ප්‍රථම ස්ථානය දිනාගනිමින් විශිෂ්ට දක්ෂතා දක්වා ඇත. ඔහුගේ ක්‍රීඩා අත්දැකීම් සහ ජයග්‍රහණ පිළිබඳ විස්තර මෙයට අමුණා ඇත.

එබැවින් මෙම තරඟාවලියට සහභාගී වීම සඳහා ඔහුට අවස්ථාව ලබා දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
7,Appreciation,පාසලට පරිගණක උපකරණ පරිත්‍යාග කළ ආයතනයකට ස්තුති ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

කළමනාකාර අධ්‍යක්ෂතුමා,

සොෆ්ට්ලොජික් ටෙක්නොලොජීස් ආයතනය,

කොළඹ 02.

මහත්මයාණනි,

විෂය: පාසල් පරිගණක විද්‍යාගාරය සඳහා පරිගණක උපකරණ පරිත්‍යාග කිරීම පිළිබඳ ස්තුතිය

අප පාසල් පරිගණක විද්‍යාගාරයේ සංවර්ධනය උදෙසා ඔබ ආයතනය විසින් පරිගණක යන්ත්‍ර 10 ක් සහ මුද්‍රණ යන්ත්‍රයක් පරිත්‍යාග කිරීම පිළිබඳව අපගේ ගෞරවනීය ස්තුතිය ප්‍රකාශ කරමු.

ඔබගේ මෙම වටිනා පරිත්‍යාගය හේතුවෙන් අප පාසල් සිසු දැරියන් විශාල පිරිසකට තොරතුරු තාක්ෂණ දැනුම ප්‍රායෝගිකව ලබා ගැනීමට මහා අත්කන්දක් විය.

ඔබ ආයතනය විසින් ඉටුකරන ලද මෙම සමාජ සත්කාරයට අප පාසල් සංවර්ධන සමිතිය සහ ආචාර්ය මණ්ඩලය වෙනුවෙන් නැවතත් හෘදයාංගම ස්තුතිය පිරිනමමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
8,Application,ශිෂ්‍යත්ව වැඩසටහනකට අයදුම් කිරීමට අවශ්‍ය නිල ලිපියක් සකස් කරන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ලේකම්තුමා,

ජාතික උසස් අධ්‍යාපන ශිෂ්‍යත්ව අරමුදල,

අධ්‍යාපන අමාත්‍යාංශය,

ඉසුරුපාය, බත්තරමුල්ල.

මහත්මයාණනි,

විෂය: 2026/2027 උසස් අධ්‍යාපන ශිෂ්‍යත්ව වැඩසටහන සඳහා අයදුම් කිරීම

අධ්‍යාපන අමාත්‍යාංශය මගින් විශ්වවිද්‍යාල ශිෂ්‍යයන් සඳහා පිරිනමනු ලබන විශේෂ ශිෂ්‍යත්ව වැඩසටහන සඳහා අයදුම් කිරීමට මෙයින් අපේක්ෂා කරමි.

මම දැනට කොළඹ විශ්වවිද්‍යාලයේ පළමු වසරේ අධ්‍යයන කටයුතු හදාරන අතර මාගේ පවුලේ ආදායම් තත්ත්වය අඩු මට්ටමක පවතී. අදාළ ග්‍රාම නිලධාරී සහතිකය සහ විශ්වවිද්‍යාල ඇතුළත් වීම් ලේඛන මෙයට අමුණා ඇත.

මාගේ උපාධි අධ්‍යයන කටයුතු සාර්ථකව කරගෙන යාම සඳහා මෙම ශිෂ්‍යත්වය ලබා දීමට කරුණාවන්ත වන ලෙස ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
9,Inquiry,විශ්වවිද්‍යාල පාඨමාලා ගාස්තු සහ ඇතුළත් වීමේ අවශ්‍යතා පිළිබඳ විමසීමට ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

අධ්‍යක්ෂ (ලියාපදිංචි),

ශ්‍රී ලංකා තොරතුරු තාක්ෂණ ආයතනය (SLIIT),

මාලබේ.

මහත්මයාණනි,

විෂය: තොරතුරු තාක්ෂණ උපාධි පාඨමාලාවේ ගාස්තු සහ ඇතුළත් වීම් සුදුසුකම් විමසීම

ඔබ ආයතනය මගින් මෙහෙයවනු ලබන Software Engineering B.Sc. (Hons) උපාධි පාඨමාලාවට ඇතුළත් වීමට මම අපේක්ෂා කරමි.

එබැවින් 2027 අධ්‍යයන වර්ෂය සඳහා අදාළ පාඨමාලා ගාස්තු, වාරික ගෙවීම් ක්‍රමවේද සහ ඇතුළත් වීමට තිබිය යුතු අවම අධ්‍යාපන සුදුසුකම් පිළිබඳ විස්තර ඇතුළත් අත්පොතක් මා වෙත යොමු කරන්නේ නම් ඉතා අගය කොට සලකමි.

මේ පිළිබඳ වැඩිදුර විස්තර මාගේ ඉහත විද්‍යුත් තැපෑලට හෝ ලිපිනයට යොමු කරන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
10,Request,රැකියා ස්ථානයේදී අමතර පුහුණු වැඩසටහනකට සහභාගී වීමට කළමනාකරුගෙන් අවසර ඉල්ලන ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

මානව සම්පත් කළමනාකරු,

ඒබීසී පුද්ගලික සමාගම,

කොළඹ 01.

මහත්මයාණනි,

විෂය: වෘත්තීය පුහුණු වැඩසටහනකට සහභාගී වීම සඳහා අවසර ඉල්ලීම

මම ඔබ ආයතනයේ තොරතුරු තාක්ෂණ අංශයේ සහකාර පරිගණක ශිල්පියකු ලෙස සේවය කරමි.

ශ්‍රී ලංකා සංවර්ධන පරිපාලන ආයතනය (SLIDA) මගින් සංවිධානය කරනු ලබන 'Advanced Cyber Security' තෙදින පුහුණු වැඩසටහන 2026 නොවැම්බර් 10 සිට 12 දක්වා පැවැත්වීමට නියමිතය. මෙම පුහුණුව මාගේ වෘත්තීය දැනුම වර්ධනය කර ගැනීමටත්, ආයතනයේ කාර්යයන් වඩාත් කාර්යක්ෂමව ඉටු කිරීමටත් මහත් උපකාරී වේ.

එබැවින් අදාළ දින කිහිපය තුළ එම පුහුණු වැඩසටහනට සහභාගී වීම සඳහා රාජකාරි මට්ටමින් අවසර ලබා දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
